key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKMB101_03302_SEQ_00","懸掛公館的管理員看上去十分不安。"
1,"TEXT_LUCKMB101_03302_SEQ_01","從懸掛公館的管理員處得知，游末邦軍的飛空艇已經來到了水晶都附近。前往水晶都的觀星室。"
2,"TEXT_LUCKMB101_03302_SEQ_02","在觀星室旁聽了水晶公和蘭吉特的談話。和水晶都博物陳列館的莫倫談談。"
3,"TEXT_LUCKMB101_03302_SEQ_03","莫倫拜託冒險者尋找講解需要的書。調查博物陳列館的<hex:02280CFF05>EObj<hex:F61EAAD10103>，獲取<hex:022811FF0A>EventItem<hex:F61E8E620103>。"
4,"TEXT_LUCKMB101_03302_SEQ_04","獲得了需要的書。將<hex:022811FF0A>EventItem<hex:F61E8E620103>交給博物陳列館的莫倫。"
5,"TEXT_LUCKMB101_03302_SEQ_05","從莫倫處得知了光之巫女敏菲利亞的情況。和水晶都自由辯論館的阿爾菲諾談談。"
6,"TEXT_LUCKMB101_03302_SEQ_06","和阿爾菲諾進行了交談，堅定了救出敏菲利亞的決心。此時水晶公出現，提出將救出敏菲利亞一事交給他……"
7,"TEXT_LUCKMB101_03302_SEQ_07",""
8,"TEXT_LUCKMB101_03302_SEQ_08",""
9,"TEXT_LUCKMB101_03302_SEQ_09",""
10,"TEXT_LUCKMB101_03302_SEQ_10",""
11,"TEXT_LUCKMB101_03302_SEQ_11",""
12,"TEXT_LUCKMB101_03302_SEQ_12",""
13,"TEXT_LUCKMB101_03302_SEQ_13",""
14,"TEXT_LUCKMB101_03302_SEQ_14",""
15,"TEXT_LUCKMB101_03302_SEQ_15",""
16,"TEXT_LUCKMB101_03302_SEQ_16",""
17,"TEXT_LUCKMB101_03302_SEQ_17",""
18,"TEXT_LUCKMB101_03302_SEQ_18",""
19,"TEXT_LUCKMB101_03302_SEQ_19",""
20,"TEXT_LUCKMB101_03302_SEQ_20",""
21,"TEXT_LUCKMB101_03302_SEQ_21",""
22,"TEXT_LUCKMB101_03302_SEQ_22",""
23,"TEXT_LUCKMB101_03302_SEQ_23",""
24,"TEXT_LUCKMB101_03302_TODO_00","前往觀星室"
25,"TEXT_LUCKMB101_03302_TODO_01","和博物陳列館的莫倫對話"
26,"TEXT_LUCKMB101_03302_TODO_02","從<hex:02280CFF05>EObj<hex:F61EAAD10103>獲取<hex:022811FF0A>EventItem<hex:F61E8E620103>"
27,"TEXT_LUCKMB101_03302_TODO_03","將<hex:022811FF0A>EventItem<hex:F61E8E620103>交給莫倫"
28,"TEXT_LUCKMB101_03302_TODO_04","和阿爾菲諾對話"
29,"TEXT_LUCKMB101_03302_TODO_05",""
30,"TEXT_LUCKMB101_03302_TODO_06",""
31,"TEXT_LUCKMB101_03302_TODO_07",""
32,"TEXT_LUCKMB101_03302_TODO_08",""
33,"TEXT_LUCKMB101_03302_TODO_09",""
34,"TEXT_LUCKMB101_03302_TODO_10",""
35,"TEXT_LUCKMB101_03302_TODO_11",""
36,"TEXT_LUCKMB101_03302_TODO_12",""
37,"TEXT_LUCKMB101_03302_TODO_13",""
38,"TEXT_LUCKMB101_03302_TODO_14",""
39,"TEXT_LUCKMB101_03302_TODO_15",""
40,"TEXT_LUCKMB101_03302_TODO_16",""
41,"TEXT_LUCKMB101_03302_TODO_17",""
42,"TEXT_LUCKMB101_03302_TODO_18",""
43,"TEXT_LUCKMB101_03302_TODO_19",""
44,"TEXT_LUCKMB101_03302_TODO_20",""
45,"TEXT_LUCKMB101_03302_TODO_21",""
46,"TEXT_LUCKMB101_03302_TODO_22",""
47,"TEXT_LUCKMB101_03302_TODO_23",""
48,"TEXT_LUCKMB101_03302_GUIDEOFTHEPENDANTS_000_000","你醒了啊。<hex:02100103>要出門嗎？"
49,"TEXT_LUCKMB101_03302_GUIDEOFTHEPENDANTS_000_001","要出門的話也不要出水晶都會比較好，<hex:02100103>畢竟游末邦軍的飛空艇突然飛了過來，<hex:02100103>現在正在湖邊停留。"
50,"TEXT_LUCKMB101_03302_GUIDEOFTHEPENDANTS_000_002","水晶公現在應該在觀星室處理這件事，<hex:02100103>恐怕他們是來問黑夜的事了吧。<hex:02100103>帶著軍隊衝過來，總讓人覺得很危險哪……"
51,"TEXT_LUCKMB101_03302_MYSTERYVOICE_000_010","你直接去博物陳列館吧。<hex:02100103>話說回來，如果敏菲利亞真的被抓住了，<hex:02100103>「他」應該不會默不作聲才對啊……"
52,"TEXT_LUCKMB101_03302_LYNA_000_015","游末邦軍的動向由我們來確認。"
53,"TEXT_LUCKMB101_03302_ALPHINAUD_000_020","上次見到敏菲利亞<hex:02100103>還是在和暗之戰士對峙的時候呢。"
54,"TEXT_LUCKMB101_03302_ALISAIE_000_025","之前也聽過了關於敏菲利亞的說明……<hex:02100103>但我還沒能完全理解。"
55,"TEXT_LUCKMB101_03302_MOREN_000_030","哎呀，大家怎麼了？<hex:02100103>關於夜晚和暗之戰士的書現在非常火，<hex:02100103>基本上都被人借走了……"
56,"TEXT_LUCKMB101_03302_MOREN_000_031","原來如此，是要了解光之巫女敏菲利亞的事情啊！<hex:02100103>嗯嗯，我很樂意效勞！"
57,"TEXT_LUCKMB101_03302_MOREN_000_032","那我就抓緊時間把手上的工作解決掉，<hex:02100103>在此期間麻煩你們把說明要用到的書取過來。"
58,"TEXT_LUCKMB101_03302_MOREN_000_033","那本書名叫«光之巫女傳說»。<hex:02100103>儘管是兒童讀物，條理卻十分清晰，並且內容完善，<hex:02100103>想知道她的事情的話，作為入門書籍最合適不過了……"
59,"TEXT_LUCKMB101_03302_MOREN_000_034","……啊，這些都不重要，就不多說了。<hex:02100103>總之，那本«光之巫女傳說»<hex:02100103>平常應該是收納在下面的書架上的。"
60,"TEXT_LUCKMB101_03302_MOREN_000_035","不過有時還書的人會放錯位置……<hex:02100103>如果那裡沒有，就去別的書架上找找看吧。"
61,"TEXT_LUCKMB101_03302_MOREN_000_040","«光之巫女傳說»平常應該是收納在下面的書架上的，<hex:02100103>要是沒看到的話就去別的書架上找找看吧。"
62,"TEXT_LUCKMB101_03302_ALPHINAUD_000_045","看來不在這裡……"
63,"TEXT_LUCKMB101_03302_ALISAIE_000_050","不過這書架也太高了，<hex:02100103>要不要去借個梯子？"
64,"TEXT_LUCKMB101_03302_SYSTEM_000_060","這裡沒有要找的書。"
65,"TEXT_LUCKMB101_03302_SYSTEM_000_061","找到了«光之巫女傳說»！"
66,"TEXT_LUCKMB101_03302_ALPHINAUD_000_070","你找到了嗎？"
67,"TEXT_LUCKMB101_03302_ALISAIE_000_075","你拿的那本……"
68,"TEXT_LUCKMB101_03302_MOREN_000_080","如何？<hex:02100103>你找到«光之巫女傳說»了嗎？"
69,"TEXT_LUCKMB101_03302_MOREN_000_081","啊，沒錯，就是這本！<hex:02100103>謝謝你幫忙找書。"
