key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKZC003_03386_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>奧斯塔爾嚴命城的緹安娜好像錯把冒險者當成了新人。"
1,"TEXT_LUCKZC003_03386_SEQ_01",""
2,"TEXT_LUCKZC003_03386_SEQ_02",""
3,"TEXT_LUCKZC003_03386_SEQ_03",""
4,"TEXT_LUCKZC003_03386_SEQ_04",""
5,"TEXT_LUCKZC003_03386_SEQ_05",""
6,"TEXT_LUCKZC003_03386_SEQ_06",""
7,"TEXT_LUCKZC003_03386_SEQ_07",""
8,"TEXT_LUCKZC003_03386_SEQ_08",""
9,"TEXT_LUCKZC003_03386_SEQ_09",""
10,"TEXT_LUCKZC003_03386_SEQ_10",""
11,"TEXT_LUCKZC003_03386_SEQ_11",""
12,"TEXT_LUCKZC003_03386_SEQ_12",""
13,"TEXT_LUCKZC003_03386_SEQ_13",""
14,"TEXT_LUCKZC003_03386_SEQ_14",""
15,"TEXT_LUCKZC003_03386_SEQ_15",""
16,"TEXT_LUCKZC003_03386_SEQ_16",""
17,"TEXT_LUCKZC003_03386_SEQ_17",""
18,"TEXT_LUCKZC003_03386_SEQ_18",""
19,"TEXT_LUCKZC003_03386_SEQ_19",""
20,"TEXT_LUCKZC003_03386_SEQ_20",""
21,"TEXT_LUCKZC003_03386_SEQ_21",""
22,"TEXT_LUCKZC003_03386_SEQ_22",""
23,"TEXT_LUCKZC003_03386_SEQ_23",""
24,"TEXT_LUCKZC003_03386_TODO_00","將<hex:022811FF0A>EventItem<hex:F61E8F910103>交給馬因茲"
25,"TEXT_LUCKZC003_03386_TODO_01","和拉迪斯卡瞭望塔的衛兵對話"
26,"TEXT_LUCKZC003_03386_TODO_02","向馬因茲報告"
27,"TEXT_LUCKZC003_03386_TODO_03",""
28,"TEXT_LUCKZC003_03386_TODO_04",""
29,"TEXT_LUCKZC003_03386_TODO_05",""
30,"TEXT_LUCKZC003_03386_TODO_06",""
31,"TEXT_LUCKZC003_03386_TODO_07",""
32,"TEXT_LUCKZC003_03386_TODO_08",""
33,"TEXT_LUCKZC003_03386_TODO_09",""
34,"TEXT_LUCKZC003_03386_TODO_10",""
35,"TEXT_LUCKZC003_03386_TODO_11",""
36,"TEXT_LUCKZC003_03386_TODO_12",""
37,"TEXT_LUCKZC003_03386_TODO_13",""
38,"TEXT_LUCKZC003_03386_TODO_14",""
39,"TEXT_LUCKZC003_03386_TODO_15",""
40,"TEXT_LUCKZC003_03386_TODO_16",""
41,"TEXT_LUCKZC003_03386_TODO_17",""
42,"TEXT_LUCKZC003_03386_TODO_18",""
43,"TEXT_LUCKZC003_03386_TODO_19",""
44,"TEXT_LUCKZC003_03386_TODO_20",""
45,"TEXT_LUCKZC003_03386_TODO_21",""
46,"TEXT_LUCKZC003_03386_TODO_22",""
47,"TEXT_LUCKZC003_03386_TODO_23",""
48,"TEXT_LUCKZC003_03386_TEANNA_000_000","沒見過你啊……你是新人吧？<hex:02100103>那正好，幫我幹件事。"
49,"TEXT_LUCKZC003_03386_TEANNA_000_001","你幫我把這個<hex:022811FF0A>EventItem<hex:F61E8F910103><hex:02100103>交給拉迪斯卡瞭望塔的馬因茲。<hex:02100103>請你快一點。"
50,"TEXT_LUCKZC003_03386_TEANNA_000_010","你幫我把這個<hex:022811FF0A>EventItem<hex:F61E8F910103><hex:02100103>交給拉迪斯卡瞭望塔的馬因茲。<hex:02100103>請你快一點。"
