key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKMH102_03762_SEQ_00","阿拉米格人居住區的可露兒正在等待冒險者做出決定。"
1,"TEXT_LUCKMH102_03762_SEQ_01",""
2,"TEXT_LUCKMH102_03762_SEQ_02",""
3,"TEXT_LUCKMH102_03762_SEQ_03",""
4,"TEXT_LUCKMH102_03762_SEQ_04",""
5,"TEXT_LUCKMH102_03762_SEQ_05",""
6,"TEXT_LUCKMH102_03762_SEQ_06",""
7,"TEXT_LUCKMH102_03762_SEQ_07",""
8,"TEXT_LUCKMH102_03762_SEQ_08",""
9,"TEXT_LUCKMH102_03762_SEQ_09",""
10,"TEXT_LUCKMH102_03762_SEQ_10",""
11,"TEXT_LUCKMH102_03762_SEQ_11",""
12,"TEXT_LUCKMH102_03762_SEQ_12",""
13,"TEXT_LUCKMH102_03762_SEQ_13",""
14,"TEXT_LUCKMH102_03762_SEQ_14",""
15,"TEXT_LUCKMH102_03762_SEQ_15",""
16,"TEXT_LUCKMH102_03762_SEQ_16",""
17,"TEXT_LUCKMH102_03762_SEQ_17",""
18,"TEXT_LUCKMH102_03762_SEQ_18",""
19,"TEXT_LUCKMH102_03762_SEQ_19",""
20,"TEXT_LUCKMH102_03762_SEQ_20",""
21,"TEXT_LUCKMH102_03762_SEQ_21",""
22,"TEXT_LUCKMH102_03762_SEQ_22",""
23,"TEXT_LUCKMH102_03762_SEQ_23",""
24,"TEXT_LUCKMH102_03762_TODO_00","和觀星室的水晶公對話"
25,"TEXT_LUCKMH102_03762_TODO_01",""
26,"TEXT_LUCKMH102_03762_TODO_02",""
27,"TEXT_LUCKMH102_03762_TODO_03",""
28,"TEXT_LUCKMH102_03762_TODO_04",""
29,"TEXT_LUCKMH102_03762_TODO_05",""
30,"TEXT_LUCKMH102_03762_TODO_06",""
31,"TEXT_LUCKMH102_03762_TODO_07",""
32,"TEXT_LUCKMH102_03762_TODO_08",""
33,"TEXT_LUCKMH102_03762_TODO_09",""
34,"TEXT_LUCKMH102_03762_TODO_10",""
35,"TEXT_LUCKMH102_03762_TODO_11",""
36,"TEXT_LUCKMH102_03762_TODO_12",""
37,"TEXT_LUCKMH102_03762_TODO_13",""
38,"TEXT_LUCKMH102_03762_TODO_14",""
39,"TEXT_LUCKMH102_03762_TODO_15",""
40,"TEXT_LUCKMH102_03762_TODO_16",""
41,"TEXT_LUCKMH102_03762_TODO_17",""
42,"TEXT_LUCKMH102_03762_TODO_18",""
43,"TEXT_LUCKMH102_03762_TODO_19",""
44,"TEXT_LUCKMH102_03762_TODO_20",""
45,"TEXT_LUCKMH102_03762_TODO_21",""
46,"TEXT_LUCKMH102_03762_TODO_22",""
47,"TEXT_LUCKMH102_03762_TODO_23",""
48,"TEXT_LUCKMH102_03762_KRILE_000_000","要前往第一世界對吧？<hex:02100103>那能不能拜託你當個傳令員呢？"
49,"TEXT_LUCKMH102_03762_KRILE_000_001","芝諾斯取回了身體並殺害了皇帝一事……<hex:02100103>還有蓋烏斯所說的「新的威脅」。<hex:02100103>就拜託你去和他們共享一下原初世界的情報吧。"
50,"TEXT_LUCKMH102_03762_KRILE_000_002","還有請轉告他們，<hex:02100103>我們正在盡最大的努力維持他們身體的現狀。<hex:02100103>總之……就交給你了。"
51,"TEXT_LUCKMH102_03762_MYSTERYVOICE_000_010","啊，你來得正好。<hex:02100103>關於靈魂回歸的研究已經有了新的進展……<hex:02100103>莫非，你也有事要報告？"
52,"TEXT_LUCKMH102_03762_MYSTERYVOICE_000_011","原來如此，<hex:02100103>原初世界也發生了變故啊……"
53,"TEXT_LUCKMH102_03762_MYSTERYVOICE_000_012","那就把大家都召集至此，彼此交換一下情報吧。<hex:02100103>我已經派人去叫了，麻煩你在這裡稍等一下。"
