key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_LUCKHZ001_03837_SEQ_00","聖羅埃勒廣場的艾爾·圖想要了解些事情。"
1,"TEXT_LUCKHZ001_03837_SEQ_01",""
2,"TEXT_LUCKHZ001_03837_SEQ_02",""
3,"TEXT_LUCKHZ001_03837_SEQ_03",""
4,"TEXT_LUCKHZ001_03837_SEQ_04",""
5,"TEXT_LUCKHZ001_03837_SEQ_05",""
6,"TEXT_LUCKHZ001_03837_SEQ_06",""
7,"TEXT_LUCKHZ001_03837_SEQ_07",""
8,"TEXT_LUCKHZ001_03837_SEQ_08",""
9,"TEXT_LUCKHZ001_03837_SEQ_09",""
10,"TEXT_LUCKHZ001_03837_SEQ_10",""
11,"TEXT_LUCKHZ001_03837_SEQ_11",""
12,"TEXT_LUCKHZ001_03837_SEQ_12",""
13,"TEXT_LUCKHZ001_03837_SEQ_13",""
14,"TEXT_LUCKHZ001_03837_SEQ_14",""
15,"TEXT_LUCKHZ001_03837_SEQ_15",""
16,"TEXT_LUCKHZ001_03837_SEQ_16",""
17,"TEXT_LUCKHZ001_03837_SEQ_17",""
18,"TEXT_LUCKHZ001_03837_SEQ_18",""
19,"TEXT_LUCKHZ001_03837_SEQ_19",""
20,"TEXT_LUCKHZ001_03837_SEQ_20",""
21,"TEXT_LUCKHZ001_03837_SEQ_21",""
22,"TEXT_LUCKHZ001_03837_SEQ_22",""
23,"TEXT_LUCKHZ001_03837_SEQ_23",""
24,"TEXT_LUCKHZ001_03837_TODO_00","和伊修加德教皇廳附近的艾爾·圖對話"
25,"TEXT_LUCKHZ001_03837_TODO_01","和隼巢的艾爾·圖對話"
26,"TEXT_LUCKHZ001_03837_TODO_02","和聖羅埃勒廣場的艾爾·圖對話"
27,"TEXT_LUCKHZ001_03837_TODO_03",""
28,"TEXT_LUCKHZ001_03837_TODO_04",""
29,"TEXT_LUCKHZ001_03837_TODO_05",""
30,"TEXT_LUCKHZ001_03837_TODO_06",""
31,"TEXT_LUCKHZ001_03837_TODO_07",""
32,"TEXT_LUCKHZ001_03837_TODO_08",""
33,"TEXT_LUCKHZ001_03837_TODO_09",""
34,"TEXT_LUCKHZ001_03837_TODO_10",""
35,"TEXT_LUCKHZ001_03837_TODO_11",""
36,"TEXT_LUCKHZ001_03837_TODO_12",""
37,"TEXT_LUCKHZ001_03837_TODO_13",""
38,"TEXT_LUCKHZ001_03837_TODO_14",""
39,"TEXT_LUCKHZ001_03837_TODO_15",""
40,"TEXT_LUCKHZ001_03837_TODO_16",""
41,"TEXT_LUCKHZ001_03837_TODO_17",""
42,"TEXT_LUCKHZ001_03837_TODO_18",""
43,"TEXT_LUCKHZ001_03837_TODO_19",""
44,"TEXT_LUCKHZ001_03837_TODO_20",""
45,"TEXT_LUCKHZ001_03837_TODO_21",""
46,"TEXT_LUCKHZ001_03837_TODO_22",""
47,"TEXT_LUCKHZ001_03837_TODO_23",""
48,"TEXT_LUCKHZ001_03837_EHLLTOU_000_000","啊，英雄！<hex:02100103>你來得正好！<hex:02100103>我有些事想問問你！"
49,"TEXT_LUCKHZ001_03837_EHLLTOU_000_001","我已經跟你說過我是詩龍拉塔托斯克的眷屬，<hex:02100103>同時也是締造新篇龍詩之翼的事情了吧？"
50,"TEXT_LUCKHZ001_03837_EHLLTOU_000_002","為此我首先需要了解正確的歷史才行！<hex:02100103>所以我想見見終結了戰爭的「超厲害的人」，<hex:02100103>你知道這個人現在在哪裡嗎?"
51,"TEXT_LUCKHZ001_03837_EHLLTOU_000_003","誒？！<hex:02100103>難道英雄就是那個「超厲害的人」嗎?<hex:02100103>我還以為「英雄」就是你的名字呢！"
52,"TEXT_LUCKHZ001_03837_EHLLTOU_000_004","真是的，你怎麼不早點說！<hex:02100103>那希望你能帶我到戰爭中最具象徵意義的地方，<hex:02100103>給我講講你的故事！"
53,"TEXT_LUCKHZ001_03837_EHLLTOU_000_005","而且弗朗塞爾也說了，只要有人陪著我，<hex:02100103>我就能到都市那裡去！"
54,"TEXT_LUCKHZ001_03837_EHLLTOU_000_006","快點快點！<hex:02100103>要去的第一站是一個叫「攪黃廳」的地方！"
55,"TEXT_LUCKHZ001_03837_HAUTDLONG_000_010","（★未使用／削除予定★）"
56,"TEXT_LUCKHZ001_03837_EHLLTOU_000_020","這裡就是傳聞中壞蛋們待過的「攪黃廳」啊！<hex:02100103>維德弗尼爾婆婆跟我說過，<hex:02100103>他們曾經把不會飛的孩子從上面推了下去。"
57,"TEXT_LUCKHZ001_03837_EHLLTOU_000_021","我只知道除此之外還發生了很多別的事，<hex:02100103>英雄你知道到底發生了什麼嗎？"
58,"TEXT_LUCKHZ001_03837_Q1_000_000","如何作答？"
59,"TEXT_LUCKHZ001_03837_A1_000_001","遇到了陰險且強大的敵人！"
60,"TEXT_LUCKHZ001_03837_A1_000_002","失去了無可替代的摯友"
61,"TEXT_LUCKHZ001_03837_A1_000_003","……"
62,"TEXT_LUCKHZ001_03837_EHLLTOU_000_022","原來如此，是英雄打倒了那個敵人並阻止了戰爭，<hex:02100103>才換來了現在的和平啊。<hex:02100103>我也要謝謝你呢。"
63,"TEXT_LUCKHZ001_03837_EHLLTOU_000_023","是這樣啊……這對於你來說一定是非常悲痛的經歷吧。<hex:02100103>我們龍族因為會與重要的伴侶共同度過很長的時間，<hex:02100103>所以離別後的痛苦也會持續很久，有些龍族甚至無法忍受那段時光。"
64,"TEXT_LUCKHZ001_03837_EHLLTOU_000_024","即便是這樣，英雄也能邁向未來，<hex:02100103>你真是很堅強很了不起呢。"
65,"TEXT_LUCKHZ001_03837_EHLLTOU_000_025","嗯，既然你不想說的話，那就不要勉強了。<hex:02100103>就算我強行問出答案來，那也不是英雄你的真實情感。<hex:02100103>這也無法成為我想傳達給其他龍族的龍詩。"
66,"TEXT_LUCKHZ001_03837_EHLLTOU_000_026","能夠了解到英雄的想法，<hex:02100103>我感到很高興！"
67,"TEXT_LUCKHZ001_03837_EHLLTOU_000_027","我說，接下來咱們去隼巢這個地方吧！<hex:02100103>聽說那裡有龍族和人類的浮雕，<hex:02100103>我想親眼看看！"
68,"TEXT_LUCKHZ001_03837_HAUTDLONG_000_030","(-？？？？-)……那隻龍果然在調查伊修加德的事情嗎……"
69,"TEXT_LUCKHZ001_03837_EHLLTOU_000_040","那個就是浮雕嗎？<hex:02100103>人類真是不可思議呢。<hex:02100103>居然會通過製作這樣的東西來表心意。"
70,"TEXT_LUCKHZ001_03837_EHLLTOU_000_041","不過這裡還殘存著悲傷的氣味。<hex:02100103>不管是維德弗尼爾婆婆還是人類都在這裡流過血對吧？<hex:02100103>我鼻子可靈了，一下子就知道了。"
71,"TEXT_LUCKHZ001_03837_EHLLTOU_000_042","經歷過悲傷後，心情會變得非常消沉，<hex:02100103>也很難去考慮其他事情，我理解這種感受。<hex:02100103>不管是人類還是龍，在這一點上是一樣的。"
