key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_XXAUSE304_03884_SEQ_00","無望流民街的顫抖的男人有事情想要告訴冒險者。"
1,"TEXT_XXAUSE304_03884_SEQ_01","和顫抖的男人進行了交談。他在棄石貧民窟也目擊到了煽動人們暴動的商人。在中薩納蘭的棄石貧民窟尋找異常情況。"
2,"TEXT_XXAUSE304_03884_SEQ_02","和艾勒交談的途中碰見了可疑的商人，卻被他立刻逃掉了。在中薩納蘭的烏爾達哈調車庫尋找可疑的商人。"
3,"TEXT_XXAUSE304_03884_SEQ_03","找到了可疑的商人。就在商人馬上要招供僱主是誰的時候，被射殺身亡。向烏爾達哈調車庫的鐵燈團衛兵報告事情經過。"
4,"TEXT_XXAUSE304_03884_SEQ_04","和鐵燈團衛兵進行了交談。向恆輝作戰總部的斯威夫特報告。"
5,"TEXT_XXAUSE304_03884_SEQ_05","斯威夫特推測，有人要封商人的口，所以殺了他。看來暴動背後另有隱情。由於此事不能再光明正大地追查下去，因此斯威夫特接手了調查。"
6,"TEXT_XXAUSE304_03884_SEQ_06",""
7,"TEXT_XXAUSE304_03884_SEQ_07",""
8,"TEXT_XXAUSE304_03884_SEQ_08",""
9,"TEXT_XXAUSE304_03884_SEQ_09",""
10,"TEXT_XXAUSE304_03884_SEQ_10",""
11,"TEXT_XXAUSE304_03884_SEQ_11",""
12,"TEXT_XXAUSE304_03884_SEQ_12",""
13,"TEXT_XXAUSE304_03884_SEQ_13",""
14,"TEXT_XXAUSE304_03884_SEQ_14",""
15,"TEXT_XXAUSE304_03884_SEQ_15",""
16,"TEXT_XXAUSE304_03884_SEQ_16",""
17,"TEXT_XXAUSE304_03884_SEQ_17",""
18,"TEXT_XXAUSE304_03884_SEQ_18",""
19,"TEXT_XXAUSE304_03884_SEQ_19",""
20,"TEXT_XXAUSE304_03884_SEQ_20",""
21,"TEXT_XXAUSE304_03884_SEQ_21",""
22,"TEXT_XXAUSE304_03884_SEQ_22",""
23,"TEXT_XXAUSE304_03884_SEQ_23",""
24,"TEXT_XXAUSE304_03884_TODO_00","在棄石貧民窟尋找異常情況"
25,"TEXT_XXAUSE304_03884_TODO_01","在烏爾達哈調車庫尋找可疑的商人"
26,"TEXT_XXAUSE304_03884_TODO_02","和鐵燈團衛兵對話"
27,"TEXT_XXAUSE304_03884_TODO_03","向恆輝作戰總部的斯威夫特報告"
28,"TEXT_XXAUSE304_03884_TODO_04",""
29,"TEXT_XXAUSE304_03884_TODO_05",""
30,"TEXT_XXAUSE304_03884_TODO_06",""
31,"TEXT_XXAUSE304_03884_TODO_07",""
32,"TEXT_XXAUSE304_03884_TODO_08",""
33,"TEXT_XXAUSE304_03884_TODO_09",""
34,"TEXT_XXAUSE304_03884_TODO_10",""
35,"TEXT_XXAUSE304_03884_TODO_11",""
36,"TEXT_XXAUSE304_03884_TODO_12",""
37,"TEXT_XXAUSE304_03884_TODO_13",""
38,"TEXT_XXAUSE304_03884_TODO_14",""
39,"TEXT_XXAUSE304_03884_TODO_15",""
40,"TEXT_XXAUSE304_03884_TODO_16",""
41,"TEXT_XXAUSE304_03884_TODO_17",""
42,"TEXT_XXAUSE304_03884_TODO_18",""
43,"TEXT_XXAUSE304_03884_TODO_19",""
44,"TEXT_XXAUSE304_03884_TODO_20",""
45,"TEXT_XXAUSE304_03884_TODO_21",""
46,"TEXT_XXAUSE304_03884_TODO_22",""
47,"TEXT_XXAUSE304_03884_TODO_23",""
48,"TEXT_XXAUSE304_03884_SYSTEM_100_000","需要先放棄進行中的主線任務才可領取此任務。<hex:02100103>請在快捷指令的任務情報中打開日誌，然後放棄該任務。"
49,"TEXT_XXAUSE304_03884_TREMBLEMAN01443_100_000","難道說……我們被他騙了麼……<hex:02100103>那南面的棄石貧民窟想必也和我們面臨著相同的問題。"
50,"TEXT_XXAUSE304_03884_TREMBLEMAN01443_100_001","雖然還沒聽說那邊發生暴動，<hex:02100103>但同一個商人也多次出現在那裡。<hex:02100103>你可以去那看看有沒有什麼不對勁的地方。"
51,"TEXT_XXAUSE304_03884_TREMBLEMAN01443_100_002","我要再次和大家談談。<hex:02100103>這次雖然沒能脫離窘境，但人都活著，就比什麼都強了。"
52,"TEXT_XXAUSE304_03884_ELE_100_010","嗚嗚……嗚嗚嗚……<hex:02100103>爸爸……媽媽……你們去哪裡了？"
53,"TEXT_XXAUSE304_03884_ELE_100_011","要不是我那麼任性……<hex:02100103>都怪我吵著要商人帶來的那些好吃的，<hex:02100103>結果讓爸爸十分為難……"
54,"TEXT_XXAUSE304_03884_ELE_100_012","然後，商人就對我們說，<hex:02100103>只因我們是難民，就要食不果腹，這太沒道理了……<hex:02100103>他讓我們改變烏爾達哈，去爭取自己的未來……"
55,"TEXT_XXAUSE304_03884_ELE_100_013","爸爸他們那時的表情，好嚇人……<hex:02100103>說是要大家一起戰鬥……<hex:02100103>再然後……他們就跟著商人，不知去哪兒了……"
56,"TEXT_XXAUSE304_03884_ELE_000_000","那個，<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>……<hex:02100103>你難道也在找人嗎？"
57,"TEXT_XXAUSE304_03884_Q1_000_000","如何作答？"
58,"TEXT_XXAUSE304_03884_A1_000_001","我在尋找一名商人"
59,"TEXT_XXAUSE304_03884_A1_000_002","我正在尋找煽動戰爭的人"
60,"TEXT_XXAUSE304_03884_ELE_000_001","難道是將爸爸他們帶走的那個商人？"
61,"TEXT_XXAUSE304_03884_ELE_100_001","啊……快看，在那邊！"
62,"TEXT_XXAUSE304_03884_MERCHANT01445_000_002","唔，還有沒有能煽動起來的貧民……<hex:02100103>嗯？那是……"
63,"TEXT_XXAUSE304_03884_MERCHANT01445_000_003","冒、冒、冒險者？！<hex:02100103>難道是露餡了……噫……"
64,"TEXT_XXAUSE304_03884_ELE_000_004","那邊是烏爾達哈調車庫的方向！<hex:02100103>追上去看看吧，<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>！"
65,"TEXT_XXAUSE304_03884_ELE_000_010","剛才的商人好像往烏爾達哈調車庫的方向跑了。<hex:02100103>追上去看看吧，<hex:020813E905FF07>姐姐<hex:FF07>哥哥<hex:03>！"
66,"TEXT_XXAUSE304_03884_GUARDLEADER01445_000_070","商人的屍體就由我們鐵燈團處置了，<hex:02100103>……你就是目睹了全過程的冒險者吧？<hex:02100103>能告訴我們都發生了什麼嗎？"
67,"TEXT_XXAUSE304_03884_GUARDLEADER01445_000_071","……嗯，有個人從北邊的石場上射箭，<hex:02100103>這麼遠的距離卻能一箭穿心，想必那人是個老手。"
68,"TEXT_XXAUSE304_03884_GUARDLEADER01445_000_072","成了，大致我都了解了。<hex:02100103>從現場來看，你應該不是犯人。<hex:02100103>你可以走了，剩下就交給我們來處理吧。"
69,"TEXT_XXAUSE304_03884_GUARDLEADER01445_000_080","從現場來看，你應該不是犯人。<hex:02100103>你可以走了，剩下就交給我們來處理吧。"
