key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_AKTKBB221_04076_SEQ_00","夜遊魂總部的德魯西拉正在等待阿恩吉斯的聯絡。"
1,"TEXT_AKTKBB221_04076_SEQ_01","從夜遊魂的組織成員口中得知阿恩吉斯被人殺害了。德魯西拉一言不發地前往了目前遺體所在的墓地。和現世迴廊艾拉里格墓地前的德魯西拉談談。"
2,"TEXT_AKTKBB221_04076_SEQ_02","阿恩吉斯的遺體被安置在艾拉里格墓地。德魯西拉委託祭司好好祭奠他的遺體。和中薩納蘭棄石貧民窟的德魯西拉談談。"
3,"TEXT_AKTKBB221_04076_SEQ_03","德魯西拉向阿恩吉斯的妻子傳達了死訊。為了報個人的仇恨而將阿恩吉斯捲入其中，對此德魯西拉深感後悔，可是阿恩吉斯的妻子並沒有責怪自己的恩人。和中薩納蘭菲斯卡冒險者營地附近大橋的德魯西拉談談。"
4,"TEXT_AKTKBB221_04076_SEQ_04","奧迦斯突然出現在了冒險者和德魯西拉麵前。雖然德魯西拉奮起攻擊，卻被奧迦斯從容躲過後消失了蹤影。和菲斯卡冒險者營地附近大橋的德魯西拉談談。"
5,"TEXT_AKTKBB221_04076_SEQ_05","德魯西拉對於放走奧迦斯感到十分焦躁。回到夜遊魂總部和德魯西拉談談。<hex:02100103>若是離開了夜遊魂總部，白玉小巷的夜遊魂成員會帶領冒險者再次前往總部。"
6,"TEXT_AKTKBB221_04076_SEQ_06","據說奧迦斯是附身在了德魯西拉祖父的遺體上。德魯西拉提醒被奧迦斯看中的冒險者不要輕敵。鍛鍊自己的實力，做好與奧迦斯戰鬥的準備。<hex:02100103><hex:02100103>※釤鐮客的等級達到78級以上時，可以從夜遊魂總部的德魯西拉那裡領取下一個釤鐮客任務。"
7,"TEXT_AKTKBB221_04076_SEQ_07",""
8,"TEXT_AKTKBB221_04076_SEQ_08",""
9,"TEXT_AKTKBB221_04076_SEQ_09",""
10,"TEXT_AKTKBB221_04076_SEQ_10",""
11,"TEXT_AKTKBB221_04076_SEQ_11",""
12,"TEXT_AKTKBB221_04076_SEQ_12",""
13,"TEXT_AKTKBB221_04076_SEQ_13",""
14,"TEXT_AKTKBB221_04076_SEQ_14",""
15,"TEXT_AKTKBB221_04076_SEQ_15",""
16,"TEXT_AKTKBB221_04076_SEQ_16",""
17,"TEXT_AKTKBB221_04076_SEQ_17",""
18,"TEXT_AKTKBB221_04076_SEQ_18",""
19,"TEXT_AKTKBB221_04076_SEQ_19",""
20,"TEXT_AKTKBB221_04076_SEQ_20",""
21,"TEXT_AKTKBB221_04076_SEQ_21",""
22,"TEXT_AKTKBB221_04076_SEQ_22",""
23,"TEXT_AKTKBB221_04076_SEQ_23",""
24,"TEXT_AKTKBB221_04076_TODO_00","和艾拉里格墓地前的德魯西拉對話"
25,"TEXT_AKTKBB221_04076_TODO_01","和棄石貧民窟的德魯西拉對話"
26,"TEXT_AKTKBB221_04076_TODO_02","和德魯西拉對話"
27,"TEXT_AKTKBB221_04076_TODO_03","再次和德魯西拉對話"
28,"TEXT_AKTKBB221_04076_TODO_04","和夜遊魂總部的德魯西拉對話"
29,"TEXT_AKTKBB221_04076_TODO_05",""
30,"TEXT_AKTKBB221_04076_TODO_06",""
31,"TEXT_AKTKBB221_04076_TODO_07",""
32,"TEXT_AKTKBB221_04076_TODO_08",""
33,"TEXT_AKTKBB221_04076_TODO_09",""
34,"TEXT_AKTKBB221_04076_TODO_10",""
35,"TEXT_AKTKBB221_04076_TODO_11",""
36,"TEXT_AKTKBB221_04076_TODO_12",""
37,"TEXT_AKTKBB221_04076_TODO_13",""
38,"TEXT_AKTKBB221_04076_TODO_14",""
39,"TEXT_AKTKBB221_04076_TODO_15",""
40,"TEXT_AKTKBB221_04076_TODO_16",""
41,"TEXT_AKTKBB221_04076_TODO_17",""
42,"TEXT_AKTKBB221_04076_TODO_18",""
43,"TEXT_AKTKBB221_04076_TODO_19",""
44,"TEXT_AKTKBB221_04076_TODO_20",""
45,"TEXT_AKTKBB221_04076_TODO_21",""
46,"TEXT_AKTKBB221_04076_TODO_22",""
47,"TEXT_AKTKBB221_04076_TODO_23",""
48,"TEXT_AKTKBB221_04076_HERMIN_000_001","現在就等阿恩吉斯的聯絡了。<hex:02100103>畢竟比起情報的收集與分析，<hex:02100103>我還是更擅長「集資」這類體力活。"
49,"TEXT_AKTKBB221_04076_DRUSILLA_000_010","是你啊……<hex:02100103>抱歉，阿恩吉斯那邊還沒有來消息。"
50,"TEXT_AKTKBB221_04076_DRUSILLA_000_011","他好像在為驗證赫爾敏弄到的情報奔波。<hex:02100103>所以恐怕你得再等一段時間……"
51,"TEXT_AKTKBB221_04076_LEMURESMEMBERA_000_012","老大、不好了！"
52,"TEXT_AKTKBB221_04076_DRUSILLA_000_013","這麼吵鬧，出什麼事了？"
53,"TEXT_AKTKBB221_04076_LEMURESMEMBERA_000_014","阿恩吉斯他……他死了！"
54,"TEXT_AKTKBB221_04076_HERMIN_000_015","什……你說什麼？！"
55,"TEXT_AKTKBB221_04076_LEMURESMEMBERA_000_016","幾個小時前銅刃團在荒野發現了被遺棄在那裡的阿恩吉斯的遺體。<hex:02100103>現在聯絡我們說人已經送到艾拉里格墓地了……"
56,"TEXT_AKTKBB221_04076_HERMIN_000_017","是、是誰幹的！<hex:02100103>我們絕對要找出兇手讓他付出應有的代價！<hex:02100103>喂，召集全體成員，準備開戰！"
57,"TEXT_AKTKBB221_04076_LEMURESMEMBERA_000_018","冷靜、赫爾敏！<hex:02100103>現在總之先冷靜下來，等待老大的指示！"
58,"TEXT_AKTKBB221_04076_LEMURESMEMBERA_000_019","抱歉，<hex:022903EB0203>。<hex:02100103>我得在這裡看著赫爾敏，省得她做出不理智的事情。<hex:02100103>就麻煩你去現世迴廊的艾拉里格墓地找老大吧！"
59,"TEXT_AKTKBB221_04076_HERMIN_000_030","是誰殺了阿恩吉斯大叔！<hex:02100103>不可原諒……絕不能原諒！"
60,"TEXT_AKTKBB221_04076_LEMURESMEMBERA_000_035","阿恩吉斯的遺體被臨時安置在現世迴廊的艾拉里格墓地那裡。<hex:02100103>請你去找老大吧。"
61,"TEXT_AKTKBB221_04076_DRUSILLA_000_040","<hex:022903EB0203>……你來了啊。<hex:02100103>先跟我走一趟，我要去見阿恩吉斯最後一面。"
62,"TEXT_AKTKBB221_04076_DRUSILLA_000_041","有人嗎！<hex:02100103>守墓人在嗎！！"
63,"TEXT_AKTKBB221_04076_NALDTHALPRIEST_000_042","請肅靜……<hex:02100103>請不要打攪逝者的安寧。"
64,"TEXT_AKTKBB221_04076_DRUSILLA_000_043","給我閉嘴，你這個臭祭司！<hex:02100103>聽銅刃團說有位男性被害者的遺體被送到了這裡。<hex:02100103>快點帶我過去！"
65,"TEXT_AKTKBB221_04076_NALDTHALPRIEST_000_044","確實有具遺體被送到了這裡，<hex:02100103>不過若不是逝者家人的話，恕我無法……"
