key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_AKTKLA106_04137_SEQ_00","精製堂的露露夏正在發愁。"
1,"TEXT_AKTKLA106_04137_SEQ_01",""
2,"TEXT_AKTKLA106_04137_SEQ_02",""
3,"TEXT_AKTKLA106_04137_SEQ_03",""
4,"TEXT_AKTKLA106_04137_SEQ_04",""
5,"TEXT_AKTKLA106_04137_SEQ_05",""
6,"TEXT_AKTKLA106_04137_SEQ_06",""
7,"TEXT_AKTKLA106_04137_SEQ_07",""
8,"TEXT_AKTKLA106_04137_SEQ_08",""
9,"TEXT_AKTKLA106_04137_SEQ_09",""
10,"TEXT_AKTKLA106_04137_SEQ_10",""
11,"TEXT_AKTKLA106_04137_SEQ_11",""
12,"TEXT_AKTKLA106_04137_SEQ_12",""
13,"TEXT_AKTKLA106_04137_SEQ_13",""
14,"TEXT_AKTKLA106_04137_SEQ_14",""
15,"TEXT_AKTKLA106_04137_SEQ_15",""
16,"TEXT_AKTKLA106_04137_SEQ_16",""
17,"TEXT_AKTKLA106_04137_SEQ_17",""
18,"TEXT_AKTKLA106_04137_SEQ_18",""
19,"TEXT_AKTKLA106_04137_SEQ_19",""
20,"TEXT_AKTKLA106_04137_SEQ_20",""
21,"TEXT_AKTKLA106_04137_SEQ_21",""
22,"TEXT_AKTKLA106_04137_SEQ_22",""
23,"TEXT_AKTKLA106_04137_SEQ_23",""
24,"TEXT_AKTKLA106_04137_TODO_00","將<hex:02280DFF07>ItemMP<hex:F28B070103>交給露露夏"
25,"TEXT_AKTKLA106_04137_TODO_01",""
26,"TEXT_AKTKLA106_04137_TODO_02",""
27,"TEXT_AKTKLA106_04137_TODO_03",""
28,"TEXT_AKTKLA106_04137_TODO_04",""
29,"TEXT_AKTKLA106_04137_TODO_05",""
30,"TEXT_AKTKLA106_04137_TODO_06",""
31,"TEXT_AKTKLA106_04137_TODO_07",""
32,"TEXT_AKTKLA106_04137_TODO_08",""
33,"TEXT_AKTKLA106_04137_TODO_09",""
34,"TEXT_AKTKLA106_04137_TODO_10",""
35,"TEXT_AKTKLA106_04137_TODO_11",""
36,"TEXT_AKTKLA106_04137_TODO_12",""
37,"TEXT_AKTKLA106_04137_TODO_13",""
38,"TEXT_AKTKLA106_04137_TODO_14",""
39,"TEXT_AKTKLA106_04137_TODO_15",""
40,"TEXT_AKTKLA106_04137_TODO_16",""
41,"TEXT_AKTKLA106_04137_TODO_17",""
42,"TEXT_AKTKLA106_04137_TODO_18",""
43,"TEXT_AKTKLA106_04137_TODO_19",""
44,"TEXT_AKTKLA106_04137_TODO_20",""
45,"TEXT_AKTKLA106_04137_TODO_21",""
46,"TEXT_AKTKLA106_04137_TODO_22",""
47,"TEXT_AKTKLA106_04137_TODO_23",""
48,"TEXT_AKTKLA106_04137_RURUSHA_000_001","哎呀，<hex:022903EB0203>。<hex:02100103>感謝你這回也能過來。"
49,"TEXT_AKTKLA106_04137_RURUSHA_000_002","在那之後我試著徹底拆解了一下恰塔號，<hex:02100103>並用煉金系開發的優質潤滑油對零件進行了維護，<hex:02100103>不過即便是這樣，重裝後情況還是沒有改善。"
50,"TEXT_AKTKLA106_04137_RURUSHA_000_003","只不過在我拆解的時候<hex:02100103>從這孩子的嘴裡發現了一個很小的零件。<hex:02100103>好像是一種發聲裝置。"
51,"TEXT_AKTKLA106_04137_RURUSHA_000_004","雖然我不太認為這孩子故障的原因是出在這個零件上，<hex:02100103>不過畢竟這個零件上也有損傷，所以我打算也把它更換掉。<hex:02100103>你能不能跟我說一下你的看法呢？"
52,"TEXT_AKTKLA106_04137_Q1_000_000","要說什麼？"
53,"TEXT_AKTKLA106_04137_A1_000_001","沒準就能進行溝通了"
54,"TEXT_AKTKLA106_04137_A1_000_002","它要是能說點什麼就好了……"
55,"TEXT_AKTKLA106_04137_BORIC_100_004","誒？你是認為可以和恰塔號交流嗎？"
56,"TEXT_AKTKLA106_04137_RURUSHA_100_005","呵呵呵，不愧是<hex:022903EB0203>！<hex:02100103>居然會想到和遺物對話，真是豐富的想像力啊。"
57,"TEXT_AKTKLA106_04137_RURUSHA_000_005","恰塔號可是能夠自主飛行的呢，<hex:02100103>所以我想要是能與人對話也不足為奇吧。<hex:02100103>說不定到時候就能直接問出故障的原因呢……"
58,"TEXT_AKTKLA106_04137_RURUSHA_000_006","那這回就拜託你製作<hex:02280DFF07>ItemMP<hex:F28B070103>了。<hex:02100103>要是這孩子真能張口說話就好了。"
59,"TEXT_AKTKLA106_04137_SYSTEM_100_007","接到了新的委託，交貨列表已經更新。<hex:02100103>和露露夏對話，查看新的交貨列表。"
60,"TEXT_AKTKLA106_04137_BORIC_000_008","你們靈活的想法真是讓我感到驚訝。<hex:02100103>一想到有可能和恰塔號交談，我就有了精神。<hex:02100103>不過預算的問題還是心中的一塊大石啊。"
61,"TEXT_AKTKLA106_04137_RURUSHA_000_010","這回就拜託你製作<hex:02280DFF07>ItemMP<hex:F28B070103>了。<hex:02100103>要是這孩子真能張口說話就好了。"
62,"TEXT_AKTKLA106_04137_RURUSHA_000_011","謝謝你幫忙。<hex:02100103>真希望快點和這孩子說上話。"
63,"TEXT_AKTKLA106_04137_RURUSHA_000_012","謝謝你幫忙。<hex:02100103>你的工作態度總是這麼認真，實在是太棒了。<hex:02100103>只要換上這個零件，就應該能聽到那孩子的聲音了吧。"
64,"TEXT_AKTKLA106_04137_RURUSHA_000_015","零件已經順利組裝進去了。<hex:02100103>之後就看這孩子能不能跟我們開口說話了。"
65,"TEXT_AKTKLA106_04137_RURUSHA_000_016","(-黃金恰塔號-)「☆＆▼△　＄※◇　◎％××……」"
66,"TEXT_AKTKLA106_04137_SYSTEM_000_017","黃金恰塔號發出了從未聽過的聲音！<hex:02100103>可是完全聽不懂它究竟在表達著什麼。"
67,"TEXT_AKTKLA106_04137_RURUSHA_000_018","恰塔號果然是能夠說話的！"
68,"TEXT_AKTKLA106_04137_BORIC_000_019","誒？誒——？<hex:02100103>難、難道恰塔號真的發出聲音了？<hex:02100103>那要真是這樣的話，沒準我們會獲得重大的發現……"
69,"TEXT_AKTKLA106_04137_BORIC_100_019","可、可它發出的聲音真的有含義嗎？<hex:02100103>我只感覺聽起來有點像是某種音樂的節奏，<hex:02100103>不知道它是真的在說話還是在奏響音樂……"
70,"TEXT_AKTKLA106_04137_NAMONOTAYAMONO_000_020","沒想到你們今天還在修復那個破爛！<hex:02100103>真是蠢到快要讓我五體投地了！"
71,"TEXT_AKTKLA106_04137_RURUSHA_000_021","哎呀，你來得正好。<hex:02100103>關於這孩子我又有了新的發現，<hex:02100103>所以借用借用你的知識……"
72,"TEXT_AKTKLA106_04137_NAMONOTAYAMONO_000_022","什麼？<hex:02100103>你不會是因為研究多少有了些進展就找我過來顯擺的吧？"
