key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_AKTKMB101_04380_SEQ_00","巴爾德西昂分館的可露兒正在和古·拉哈·提亞談話。"
1,"TEXT_AKTKMB101_04380_SEQ_01","與可露兒一同前往魔法大學。和巴爾德西昂分館前的阿莉塞談談。"
2,"TEXT_AKTKMB101_04380_SEQ_02","阿莉塞和阿爾菲諾也加入了行動。和舊薩雷安所見大講堂前的可露兒談談。"
3,"TEXT_AKTKMB101_04380_SEQ_03","前往流傳著阿爾菲諾傳說的所見大講堂。和所見大講堂的興奮的魔法大學生談談。"
4,"TEXT_AKTKMB101_04380_SEQ_04","興奮的魔法大學生並不知道蒙蒂謝涅目前的所在地。和所見大講堂屯集堂的奇伊·阿里亞珀談談。"
5,"TEXT_AKTKMB101_04380_SEQ_05","奇伊·阿里亞珀建議一行人前往精製堂。和所見大講堂精製堂的冷靜的魔法大學生談談。"
6,"TEXT_AKTKMB101_04380_SEQ_06","從冷靜的魔法大學生處得知蒙蒂謝涅似乎就在所見大講堂的某處。在所見大講堂尋找蒙蒂謝涅。"
7,"TEXT_AKTKMB101_04380_SEQ_07","找到了蒙蒂謝涅，接受了蒙蒂謝涅的授課。蒙蒂謝涅提到被強烈的乙太照射後，可以封印記憶，並以此創造了限制人們做出特定行動的魔法。暫時將這些知識記下，也許會在今後的行動中派上用場。"
8,"TEXT_AKTKMB101_04380_SEQ_08",""
9,"TEXT_AKTKMB101_04380_SEQ_09",""
10,"TEXT_AKTKMB101_04380_SEQ_10",""
11,"TEXT_AKTKMB101_04380_SEQ_11",""
12,"TEXT_AKTKMB101_04380_SEQ_12",""
13,"TEXT_AKTKMB101_04380_SEQ_13",""
14,"TEXT_AKTKMB101_04380_SEQ_14",""
15,"TEXT_AKTKMB101_04380_SEQ_15",""
16,"TEXT_AKTKMB101_04380_SEQ_16",""
17,"TEXT_AKTKMB101_04380_SEQ_17",""
18,"TEXT_AKTKMB101_04380_SEQ_18",""
19,"TEXT_AKTKMB101_04380_SEQ_19",""
20,"TEXT_AKTKMB101_04380_SEQ_20",""
21,"TEXT_AKTKMB101_04380_SEQ_21",""
22,"TEXT_AKTKMB101_04380_SEQ_22",""
23,"TEXT_AKTKMB101_04380_SEQ_23",""
24,"TEXT_AKTKMB101_04380_TODO_00","和阿莉塞對話"
25,"TEXT_AKTKMB101_04380_TODO_01","和可露兒對話"
26,"TEXT_AKTKMB101_04380_TODO_02","和興奮的魔法大學生對話"
27,"TEXT_AKTKMB101_04380_TODO_03","和奇伊·阿里亞珀對話"
28,"TEXT_AKTKMB101_04380_TODO_04","和冷靜的魔法大學生對話"
29,"TEXT_AKTKMB101_04380_TODO_05","尋找蒙蒂謝涅"
30,"TEXT_AKTKMB101_04380_TODO_06",""
31,"TEXT_AKTKMB101_04380_TODO_07",""
32,"TEXT_AKTKMB101_04380_TODO_08",""
33,"TEXT_AKTKMB101_04380_TODO_09",""
34,"TEXT_AKTKMB101_04380_TODO_10",""
35,"TEXT_AKTKMB101_04380_TODO_11",""
36,"TEXT_AKTKMB101_04380_TODO_12",""
37,"TEXT_AKTKMB101_04380_TODO_13",""
38,"TEXT_AKTKMB101_04380_TODO_14",""
39,"TEXT_AKTKMB101_04380_TODO_15",""
40,"TEXT_AKTKMB101_04380_TODO_16",""
41,"TEXT_AKTKMB101_04380_TODO_17",""
42,"TEXT_AKTKMB101_04380_TODO_18",""
43,"TEXT_AKTKMB101_04380_TODO_19",""
44,"TEXT_AKTKMB101_04380_TODO_20",""
45,"TEXT_AKTKMB101_04380_TODO_21",""
46,"TEXT_AKTKMB101_04380_TODO_22",""
47,"TEXT_AKTKMB101_04380_TODO_23",""
48,"TEXT_AKTKMB101_04380_GRAHATIA_000_000","早上好……睡的怎麼樣？<hex:02100103>謝謝你昨天把房間借給我們！<hex:02100103>久違地享受了一頓熱鬧的晚飯，我很開心。"
49,"TEXT_AKTKMB101_04380_KRILE_000_010","早呀，<hex:022903EB0203>！<hex:02100103>昨晚大家在你房間鬧了那麼久，<hex:02100103>你之後休息的怎麼樣？"
50,"TEXT_AKTKMB101_04380_KRILE_000_011","不過，你來得剛好。<hex:02100103>我正打算前往薩雷安魔法大學。"
51,"TEXT_AKTKMB101_04380_KRILE_000_012","你們還記得在哲學家議會的審問會上庇護我們的<hex:02100103>蒙蒂謝涅大人嗎？<hex:02100103>他是魔法大學的校長，一位了不起的賢人。"
52,"TEXT_AKTKMB101_04380_KRILE_000_013","我們之前去薩維奈島時，<hex:02100103>蒙蒂謝涅大人也造訪了巴爾德西昂分館，<hex:02100103>因為審問會的事情，他似乎很擔心我們。"
53,"TEXT_AKTKMB101_04380_KRILE_000_014","所以我就想在收到雅·修特拉的聯絡前，<hex:02100103>去向蒙蒂謝涅大人道個謝。<hex:02100103>可以的話，能請你和我一同去魔法大學嗎？"
54,"TEXT_AKTKMB101_04380_KRILE_000_015","那就說好了！<hex:02100103>我們叫上在外面訓練的阿爾菲諾他們，<hex:02100103>一起去大書院附近的所見大講堂吧！"
55,"TEXT_AKTKMB101_04380_GRAHATIA_000_016","那我就留在分館吧。<hex:02100103>這樣有什麼事也方便及時應對。"
56,"TEXT_AKTKMB101_04380_KRILE_000_017","謝謝你，拉哈！<hex:02100103>如果偷偷溜出去的埃斯蒂尼安回來了，<hex:02100103>麻煩你告訴他下次出門前起碼要給大家留個信！"
57,"TEXT_AKTKMB101_04380_GRAHATIA_000_020","我並不是魔法大學的學生，<hex:02100103>在那邊也沒有認識的人。<hex:02100103>所以這次就留下來看家吧。"
58,"TEXT_AKTKMB101_04380_GRAHATIA_000_021","雖然我也很好奇那個有名的所見大講堂裡<hex:02100103>到底收錄著什麼樣的史料……<hex:02100103>啊，當然了，先辦正事要緊！"
59,"TEXT_AKTKMB101_04380_ALPHINAUD_000_025","看來使用賢具方面還得多練練……"
60,"TEXT_AKTKMB101_04380_ALISAIE_000_030","你這是要出門嗎？"
61,"TEXT_AKTKMB101_04380_ALISAIE_000_031","哦？要去魔法大學？<hex:02100103>正好我也想找機會好好感謝一下蒙蒂謝涅大人，<hex:02100103>我跟你一起去！"
62,"TEXT_AKTKMB101_04380_ALPHINAUD_000_032","那我也一起去吧。<hex:02100103>不過現在去的話，可能學生們不會有什麼好臉色吧……"
63,"TEXT_AKTKMB101_04380_ALISAIE_000_033","……我覺得阿爾菲諾你完全不用擔心這個問題。"
64,"TEXT_AKTKMB101_04380_ALISAIE_000_034","總之先去所見大講堂看看吧！"
65,"TEXT_AKTKMB101_04380_ALPHINAUD_000_040","真是令人懷念……<hex:02100103>以前上學的時候，每天都要來這座大講堂。"
66,"TEXT_AKTKMB101_04380_ALISAIE_000_045","看到門上的水瓶紋樣了嗎？<hex:02100103>那是沙利亞克神的標誌，智慧的水瓶。<hex:02100103>也是魔法大學的校徽。"
